day,decision_prompt_tokens,decision_completion_tokens,decision_cost_cents,reflection_prompt_tokens,reflection_completion_tokens,reflection_cost_cents,cumulative_cost_cents
1,354,884,1,532,1000,1,2
2,354,696,1,470,1000,1,4
3,354,1005,1,459,1000,1,6
4,354,823,1,526,1000,1,8
5,354,1200,1,358,1000,1,10
6,354,1110,1,493,1000,1,12
7,354,1042,1,489,1000,1,14
8,354,1200,1,358,1000,1,16
9,354,702,1,469,1000,1,18
10,354,1200,1,358,1000,1,20
11,354,863,1,502,1000,1,22
12,354,1044,1,491,1000,1,24
13,354,1200,1,358,1000,1,26
14,354,1090,1,480,1000,1,28
15,354,924,1,499,1000,1,30
16,354,908,1,483,1000,1,32
17,354,1065,1,513,1000,1,34
18,354,611,1,506,1000,1,36
19,354,1031,1,478,1000,1,38
20,354,853,1,494,1000,1,40
21,354,1200,1,358,1000,1,42
22,354,1049,1,496,1000,1,44
23,354,942,1,460,1000,1,46
24,354,1135,1,518,1000,1,48
25,354,1200,1,358,1000,1,50
26,354,821,1,467,1000,1,52
27,354,924,1,499,1000,1,54
28,354,1004,1,515,1000,1,56
29,354,1064,1,511,1000,1,58
30,354,1200,1,358,1000,1,60
31,354,879,1,518,1000,1,62
32,354,858,1,497,1000,1,64
33,354,786,1,489,1000,1,66
34,354,1200,1,358,1000,1,68
35,354,1107,1,490,1000,1,70
36,354,876,1,458,1000,1,72
37,354,729,1,496,1000,1,74
38,354,925,1,500,1000,1,76
39,354,1200,1,358,1000,1,78
40,354,1074,1,464,1000,1,80
41,354,1054,1,501,1000,1,82
42,354,982,1,493,1000,1,84
43,354,1200,1,358,1000,1,86
44,354,1200,1,358,1000,1,88
45,354,980,1,491,1000,1,90
46,354,839,1,478,1000,1,92
47,354,885,1,524,1000,1,94
48,354,998,1,509,1000,1,96
49,354,1001,1,455,1000,1,98
50,354,925,1,500,1000,1,100
51,354,1200,1,358,1000,1,102
52,354,1200,1,358,1000,1,104
53,354,1200,1,358,1000,1,106
54,354,826,1,472,1000,1,108
55,354,1200,1,358,1000,1,110
56,354,1200,1,358,1000,1,112
57,354,925,1,500,1000,1,114
58,354,1113,1,496,1000,1,116
59,354,1064,1,511,1000,1,118
60,354,1014,1,468,1000,1,120
61,354,952,1,527,1000,1,122
62,354,1200,1,358,1000,1,124
63,354,883,1,465,1000,1,126
64,354,932,1,507,1000,1,128
65,354,1011,1,522,1000,1,130
66,354,993,1,504,1000,1,132
67,354,1200,1,358,1000,1,134
68,354,1200,1,358,1000,1,136
69,354,1200,1,358,1000,1,138
70,354,803,1,449,1000,1,140
71,354,1200,1,358,1000,1,142
72,354,943,1,518,1000,1,144
73,354,1200,1,358,1000,1,146
74,354,1200,1,358,1000,1,148
75,354,1200,1,358,1000,1,150
76,354,969,1,480,1000,1,152
77,354,970,1,481,1000,1,154
78,354,1200,1,358,1000,1,156
79,354,1003,1,457,1000,1,158
80,354,1200,1,358,1000,1,160
81,354,1138,1,464,1000,1,162
82,354,905,1,480,1000,1,164
83,354,1133,1,459,1000,1,166
84,354,1200,1,358,1000,1,168
85,354,836,1,475,1000,1,170
86,354,1200,1,358,1000,1,172
87,354,930,1,505,1000,1,174
88,354,857,1,496,1000,1,176
89,354,1200,1,358,1000,1,178
90,354,1200,1,358,782,1,180
91,354,1200,1,358,1000,1,182
92,354,1200,1,358,1000,1,184
93,354,1200,1,358,1000,1,186
94,354,1016,1,470,1000,1,188
95,354,1122,1,505,1000,1,190
96,354,1087,1,534,1000,1,192
97,354,991,1,502,1000,1,194
98,354,973,1,484,1000,1,196
99,354,1062,1,509,1000,1,198
100,354,1200,1,358,1000,1,200
101,354,1200,1,358,1000,1,202
102,354,856,1,497,1000,1,204
103,354,847,1,486,1000,1,206
104,354,858,1,497,1000,1,208
105,354,734,1,501,1000,1,210
106,354,855,1,494,1000,1,212
107,354,1200,1,358,1000,1,214
108,354,1200,1,358,1000,1,216
109,354,812,1,515,1000,1,218
110,354,1049,1,496,1000,1,220
111,354,872,1,514,1000,1,222
112,354,958,1,476,1000,1,224
113,354,950,1,468,1000,1,226
114,354,1200,1,358,1000,1,228
115,354,1137,1,463,1000,1,230
116,354,823,1,469,1000,1,232
117,354,988,1,499,1000,1,234
118,354,849,1,488,1000,1,236
119,354,870,1,452,1000,1,238
120,354,1200,1,358,1000,1,240
121,354,842,1,481,1000,1,242
122,354,1058,1,505,1000,1,244
123,354,1054,1,504,1000,1,246
124,354,1011,1,465,1000,1,248
125,354,766,1,469,1000,1,250
126,354,947,1,465,1000,1,252
127,354,996,1,507,1000,1,254
128,354,1200,1,358,953,1,256
129,354,1200,1,358,1000,1,258
130,354,1200,1,358,1000,1,260
131,354,1103,1,486,1000,1,262
132,354,1200,1,358,962,1,264
133,354,1200,1,358,1000,1,266
134,354,1096,1,479,1000,1,268
135,354,1200,1,358,1000,1,270
